,aspect,document,sentiment
1890,LAPTOP#GENERAL,it is a great value for what you get.,positive
1891,LAPTOP#MISCELLANEOUS,i can run somewhat modern games like Skyrim and Fallout New Vegas with no issues.,positive
1892,LAPTOP#GENERAL,I get giddy every time I use this thing.,positive
1893,LAPTOP#DESIGN_FEATURES,It is a thing of beauty and fast enough.,positive
1894,,What's fast enough?,
1895,LAPTOP#OPERATION_PERFORMANCE,When you click and don't wait.,positive
1896,,"Waiting is horrible, and not waiting is the best thing on earth.",
1897,LAPTOP#OPERATION_PERFORMANCE,"So yes, it is ridiculously fast.",positive
1898,BATTERY#OPERATION_PERFORMANCE,The battery will get you from LA to NY no problem.,positive
1899,OS#USABILITY,THE 8.1.WAY DIFFERENT THAN MY OTHER COMPUTER SO WE HAVE TO GET USE  TO IT.,neutral
1900,LAPTOP#DESIGN_FEATURES,IT IS VERY LIGHT AND THE PICTURE IS NICE  AND THE PRICE WAS AMAZING.,positive
1901,LAPTOP#MISCELLANEOUS,CAN EVEN READMY KINDLE ON THIS COMPUTER,positive
1902,LAPTOP#GENERAL,"excellent item, shipped on time, met my expectations, it doesnt heat at all, dont use it for gaming",positive
1903,LAPTOP#PRICE,for the price this is a super product out of the box.,neutral
1904,LAPTOP#OPERATION_PERFORMANCE,It wont wow you with its speed but who can complain at $249.,neutral
1905,KEYBOARD#DESIGN_FEATURES,plus this computer comes with a full size keyboard.,positive
1906,LAPTOP#DESIGN_FEATURES,NO junkware!!,positive
1907,LAPTOP#MISCELLANEOUS,"This computer is great for someone who is looking to manage their online life(banling, facebook etc) and some basic offline work using MS Office.",positive
1908,LAPTOP#DESIGN_FEATURES,the only drawback is no DVD player.. but for $20 you can buy an external one,neutral
1909,LAPTOP#DESIGN_FEATURES,Very light and beautiful.,positive
1910,LAPTOP#OPERATION_PERFORMANCE,It's just a little slow.,negative
1911,LAPTOP#GENERAL,five starts,positive
1912,LAPTOP#OPERATION_PERFORMANCE,Terribly slow...,negative
1913,LAPTOP#OPERATION_PERFORMANCE,Start up time took forever everything runs very slowly.,negative
1914,DISPLAY#QUALITY,Screen broke 1 month outside warranty.,negative
1915,LAPTOP#QUALITY,Overall build quality is cheap.,negative
1916,COMPANY#GENERAL,Avoid Acer.,negative
1917,LAPTOP#GENERAL,Not bad.,neutral
1918,LAPTOP#DESIGN_FEATURES,"Nice and light, seems to help your work instead of becoming work itself.",positive
1919,LAPTOP#DESIGN_FEATURES,Perfect size for me.,positive
1920,LAPTOP#MISCELLANEOUS,"Probably not a gaming machine, which I have zero interest in.",neutral
1921,LAPTOP#GENERAL,i just love this ultrabook,positive
1922,LAPTOP#MISCELLANEOUS,i defenitly recommend it for anyone for office and home work,positive
1923,LAPTOP#GENERAL,It's ok.,neutral
1924,LAPTOP#OPERATION_PERFORMANCE,I find that it often gets very slow and I have to restart more than usual.,negative
1925,LAPTOP#DESIGN_FEATURES,"It's light and easy to use, though.",positive
1926,LAPTOP#GENERAL,"I love this computer, this is my first ever Mac (I'm 21) and it took a little while to switch over from the OS I was used to, but it was a fast learning curve.",positive
1927,DISPLAY#QUALITY,"The resolution is gorgeous, the computer is light, it does everything I need and the interface is pretty intuitive.",positive
1928,LAPTOP#GENERAL,I love this computer!,positive
1929,LAPTOP#DESIGN_FEATURES,However I am very upset that it doesn't have the superdrive built in!,negative
1930,LAPTOP#USABILITY,Supper east to use.,positive
1931,DISPLAY#GENERAL,Retina display is beautiful.,positive
1932,LAPTOP#OPERATION_PERFORMANCE,Also very quick laptop!,positive
1933,LAPTOP#DESIGN_FEATURES,Con: Hate that it has no disk drive.,negative
1934,,"beautifully done, the computer is amazingly faster compared to other version of macbook pro i have had in the past.",
1935,LAPTOP#QUALITY,I am also glad it doesnt get too hot when left on for an extended period of time.,positive
1936,BATTERY#OPERATION_PERFORMANCE,"The battery life is good, even with using high profile software like Sibelius 7 for a good half of the day.",positive
1937,,"Overall, the performance and specs are definitely great for the price compared to other laptop of the same price, which make this Apple purchase a worthwhile one.",
1938,LAPTOP#GENERAL,"Wonderful, super fast, lightweight computer",positive
1939,LAPTOP#USABILITY,"The New Macbook pro working, good user experience, fast speed, faster start up time.",positive
1940,LAPTOP#GENERAL,This is what I was looking for.,positive
1941,DISPLAY#DESIGN_FEATURES,It has a wide screen and it's easy to use.,positive
1942,LAPTOP#GENERAL,"At my age, I need this kind of laptop.",positive
1943,LAPTOP#OPERATION_PERFORMANCE,Extremely slow.,negative
1944,LAPTOP#QUALITY,A masterpiece of crap.,negative
1945,LAPTOP#QUALITY,not durable .,negative
1946,CPU#OPERATION_PERFORMANCE,"slow processor, just not it",negative
1947,,I upgraded the memory from 4gb to 8gb and found the user manual (which I read while awaiting the laptop to arrive) more useful than the Youtube demo.,
1948,MOUSE#USABILITY,"I can't use the Trackpad very well, it's too sensitive, so I hooked up a mouse.",negative
1949,LAPTOP#CONNECTIVITY,External monitor worked easily.,positive
1950,LAPTOP#GENERAL,Been using Lenovo ThinkPad Edge laptops in our business for several years now and have no complaints about any of them.,positive
1951,LAPTOP#QUALITY,"They have held up well not just in our sales department, but also in our service department where they are exposed to dust, exhaust, grease, oil, and all manner of other non-computer-friendly substances.",positive
1952,LAPTOP#QUALITY,"GENERAL, a quality laptop.",positive
1953,SOFTWARE#GENERAL,The Lenovo software that comes preinstalled may qualify as bloatware but is easily removed if you're not interested in it.,neutral
1954,OS#GENERAL,Windows 7 rocks.,positive
1955,LAPTOP#OPERATION_PERFORMANCE,Computer runs very slow!,negative
1956,LAPTOP#GENERAL,Great Laptop!,positive
1957,DISPLAY#DESIGN_FEATURES,"Bigger screen than expected, laptop with a desktop design that is really nice to use for all types of usage, including programming/editing",positive
1958,OS#GENERAL,"One of the very few laptops still available with Win 7 Pro, multiple USB ports, and a DVD read/write drive.",positive
1959,LAPTOP#DESIGN_FEATURES,Only drawback is no LED to show when the hard drive is being accessed.,negative
1960,LAPTOP#DESIGN_FEATURES,"Not a necessity, but something I've come to expect.",negative
1961,LAPTOP#GENERAL,Does what I need it to do and the price was right!,positive
1962,LAPTOP#GENERAL,Great laptop from Apple!,positive
1963,LAPTOP#QUALITY,Apple is unrivaled in terms of build quality and functionality.,positive
1964,DISPLAY#GENERAL,The retina screen is absolutely beautiful and the touchpad is the best touchpad to date.,positive
1965,LAPTOP#USABILITY,The pair allow for seamless navigation throughout the whole interface.,positive
1966,BATTERY#OPERATION_PERFORMANCE,Battery life is astonishing given the processing power and high resolution display.,positive
1967,BATTERY#OPERATION_PERFORMANCE,I can easily get 10 hours out of a full charge.,positive
1968,,"Also, I find OS X much more simple and easy to use than Windows.",
1969,LAPTOP#QUALITY,"Overall, a high quality laptop and a great value considering all this computer has to offer.",positive
1970,LAPTOP#GENERAL,Well worth the extra cost.,positive
1971,,"As a long time PC user, I nearly done using PCs.",
1972,LAPTOP#DESIGN_FEATURES,Size is perfect and display is beautiful!,positive
1973,,Get Speck cover at the same time!,
1974,LAPTOP#OPERATION_PERFORMANCE,"Excellent performance, especially given its price point.",positive
1975,,It's performing very well after a week's use and I don't anticipate any trouble given my past experiences with Dell pcs.,
1976,DISPLAY#DESIGN_FEATURES,The screen is wide and provides excellent clarity.,positive
1977,,"In addition to some usage on the road, this is also my desktop unit.",
1978,LAPTOP#DESIGN_FEATURES,"It is not a small, compact laptop, but I won't be traveling via air often, so its size and weight is not a problem for me.",neutral
1979,,This was recommended to me by an IT support specialist in the local school district.,
1980,LAPTOP#GENERAL,I can appreciate why she recommended it!,positive
1981,,"If you are undecided between a desktop or laptop pc, I strongly recommend this pc as a solution.",
1982,LAPTOP#OPERATION_PERFORMANCE,Don't expect much in terms of performance from this laptop.,negative
1983,LAPTOP#MISCELLANEOUS,"It gets the job done in terms of having a computer that can browse the web, use Word/Excel, and the like.",positive
1984,LAPTOP#DESIGN_FEATURES,This laptop does NOT have an RJ-45 Ethernet adapter for wired network connection.,negative
1985,LAPTOP#OPERATION_PERFORMANCE,fast easy,positive
1986,,I live in Jamaica and bought this online and my husband took it down for me.,
1987,LAPTOP#GENERAL,So far I do not have any trouble with it other than the picture quality is a bit poor.,positive
1988,,My son saw this laptop online and told be about it and i thought it was a good deal and bought it.,
1989,LAPTOP#OPERATION_PERFORMANCE,I have had it over a month now and it works just fine.,positive
1990,LAPTOP#MISCELLANEOUS,This laptop suits my needs: as i am currently studying online and just need a computer for that purpose.,positive
1991,LAPTOP#MISCELLANEOUS,My daughter uses it for college too and it works great for both of us.,positive
1992,LAPTOP#GENERAL,"So i gave this 4 stars but only because of the poor picture quality, other than that it is a great buy!",positive
1993,LAPTOP#GENERAL,This laptop is absolutely horrible.,negative
1994,LAPTOP#OPERATION_PERFORMANCE,I bought it simply for Excel on Windows for work since I have a Macbook Air and literally the thing freezes and lags opening Excel or my web browser.,negative
1995,LAPTOP#GENERAL,There is a chance mine is defective but regardless I'm not going to try another one this is a terrible product.,negative
1996,LAPTOP#GENERAL,I'd much rather bite the bullet and spend a little more for a product that actually meets minimum computing expectations for 2014.,negative
1997,LAPTOP#PRICE,I appreciate the effort to hit affordable pricing Dell but just not worth it.,positive
1998,LAPTOP#OPERATION_PERFORMANCE,It is slow and complicated and very disappointing,negative
1999,LAPTOP#GENERAL,Great labtop..,positive
2000,LAPTOP#OPERATION_PERFORMANCE,not as fast as I would have liked it to be but everything else is great!,negative
2001,LAPTOP#GENERAL,I've only had this computer for a few days an I already don't like it.,negative
2002,BATTERY#OPERATION_PERFORMANCE,The battery life is a joke and it's causing other problems.,negative
2003,LAPTOP#GENERAL,I will be returning it.,negative
2004,LAPTOP#GENERAL,If people are writing bad reviews about this laptop then believe what they say.,negative
2005,LAPTOP#GENERAL,This is an ok computer.,neutral
2006,,The processor shows a speed of 1.7gz.,
2007,MULTIMEDIA_DEVICES#QUALITY,The sound is disappointing.,negative
2008,MULTIMEDIA_DEVICES#QUALITY,No bass sound at all.,negative
2009,LAPTOP#QUALITY,Maybe this one is just a dud.,negative
2010,LAPTOP#GENERAL,the computer is very wonderful.,positive
2011,LAPTOP#DESIGN_FEATURES,was not aware it did not have a disk drive when i bought it or i would not of purchased it.,negative
2012,LAPTOP#OPERATION_PERFORMANCE,it does have a habit of restarting itself when you try to do the log in pw. but over all. im very satisfied.,negative
2013,LAPTOP#OPERATION_PERFORMANCE,its very fast and very light.,positive
2014,LAPTOP#GENERAL,great product.,positive
2015,LAPTOP#GENERAL,i am giviing it four stars instead of five because of no disk drive and the crashing,positive
2016,LAPTOP#GENERAL,I absolutely love my Dell Inspiron!,positive
2017,,I use it for basic web browsing and word processing.,
2018,,I have also used it to watch YouTube and Hulu.,
2019,LAPTOP#OPERATION_PERFORMANCE,"It powers on/off very quickly, and it loads up automatically.",positive
2020,MOUSE#QUALITY,"The mouse click is a bit loud, but it really isn't a problem.",neutral
2021,LAPTOP#GENERAL,"For $250, I highly recommend!!",positive
2022,LAPTOP#QUALITY,very poor quality lap top....,negative
2023,LAPTOP#GENERAL,I am returning it...,negative
2024,LAPTOP#OPERATION_PERFORMANCE,Slow,negative
2025,LAPTOP#GENERAL,GREAT value laptop!,positive
2026,LAPTOP#PRICE,I can't believe this was just $250,positive
2027,,I am using primarily for Office and Outlook while I'm on the road.,
2028,LAPTOP#OPERATION_PERFORMANCE,"Speed is great, easy to set up and get going.",positive
2029,LAPTOP#GENERAL,Very pleased so far.,positive
2030,LAPTOP#USABILITY,It is very difficult to use this computer.,negative
2031,LAPTOP#USABILITY,Too many steps to get anywhere and hard to set up,negative
2032,LAPTOP#OPERATION_PERFORMANCE,"This things run smoothly for its price, and the battery life seems to go on forever.",positive
2033,,I got this laptop as an upgrade / replacement for my old Lenovo notebook.,
2034,,"I didn't have that much money, so I thought I'd give the Inspiron a try.",
2035,LAPTOP#OPERATION_PERFORMANCE,I wasn't disappointed in its performance.,positive
2036,LAPTOP#GENERAL,"All in all, it's well worth its price tag.",positive
2037,LAPTOP#GENERAL,Great laptop for the price.,positive
2038,KEYBOARD#DESIGN_FEATURES,It was nearly impossible to find a laptop that had A) a side keyboard.,positive
2039,,I do a lot of 10-key so I can't be pecking around at the top looking for numbers,
2040,LAPTOP#DESIGN_FEATURES,B) a DVD/CD player.,positive
2041,,I have a lot of antiquated programs that I use that require a download,
2042,HARD_DISC#DESIGN_FEATURES,C) a large hard drive instead of using the Cloud,positive
2043,LAPTOP#PRICE,D) was under $300 with shipping.,positive
2044,OS#GENERAL,The only con is Windows effin 8.,negative
2045,LAPTOP#GENERAL,Still giving it a 5 star rating because it is fast and a nice sized screen.,positive
2046,LAPTOP#MISCELLANEOUS,Great for web design and general work.,positive
2047,LAPTOP#GENERAL,Overall good but processing power isn't very good.,positive
2048,OS#GENERAL,"W7 Pro with W8 pro upgrade is nice, but it frequently freezes for a few seconds here and there.",positive
2049,LAPTOP#OPERATION_PERFORMANCE,I replaced stock drive with WD Black 7K drive and is still quite slow.,negative
2050,BATTERY#OPERATION_PERFORMANCE,Battery doesn't last long web browsing (2.5 hours maybe).,negative
2051,LAPTOP#DESIGN_FEATURES,It has some bloat wear that I wish weren't there.,negative
2052,LAPTOP#OPERATION_PERFORMANCE,It works fine for a PC in this price range.,positive
2053,LAPTOP#GENERAL,I bought it for my parents (late 60s) and they love it - particularly the keyboard and screen.,positive
2054,LAPTOP#GENERAL,Terrific value for the money.,positive
2055,KEYBOARD#DESIGN_FEATURES,Love the key layout and the built-in mouse pad - all work well and are properly sized.,positive
2056,,"Was easy to get up and running and comes with Windows 7 Pro (my favorite operating system so far, do not  like Windows 8).",
2057,LAPTOP#GENERAL,Highly recommended.,positive
2058,LAPTOP#OPERATION_PERFORMANCE,works good but doesn't seem like it's made sturdy.,positive
2059,LAPTOP#DESIGN_FEATURES,kinda to light and plastic feeling.,negative
2060,,i have square trade for it just in case it breaks,
2061,LAPTOP#GENERAL,Killer computer.,positive
2062,,Replaced a 10 year old HP that never gave us a lick of trouble.,
2063,LAPTOP#GENERAL,I would highly recommend this computer it is FAST!!!,positive
2064,DISPLAY#DESIGN_FEATURES,Doesn't have touch screen but I have a tablet so that wasn't so important.,neutral
2065,LAPTOP#DESIGN_FEATURES,Look and feel is good.,positive
2066,LAPTOP#OPERATION_PERFORMANCE,I am experiencing the system little slower than what I have expected.,negative
2067,CPU#OPERATION_PERFORMANCE,"And processor feels pressured even though I run medium scale programs, watching the way exhaust speed increases.",negative
2068,HARD_DISC#QUALITY,The hdd has a scratching noise.,negative
2069,LAPTOP#OPERATION_PERFORMANCE,The system sometimes lags a lot.,negative
2070,LAPTOP#GENERAL,I don't like it at all...,negative
2071,LAPTOP#CONNECTIVITY,I can't put a protector to make presentation...,negative
2072,LAPTOP#QUALITY,A good value on a quality product.,positive
2073,LAPTOP#USABILITY,"Easy setup, and delivers all the functions we need.",positive
2074,LAPTOP#GENERAL,This laptop is amazing!,positive
2075,LAPTOP#DESIGN_FEATURES,"Despite the fact that there's no optical drive, everything is perfect.",neutral
2076,DISPLAY#QUALITY,"The screen resolution is crystal clear, the speakers are amazing, and the track pad is easy to use.",positive
2077,OS#USABILITY,The home page/startup is easy to navigate which is the one thing I was mainly concerned about.,positive
2078,LAPTOP#CONNECTIVITY,"Internet is fast and reliable, battery life lasts a long time.",positive
2079,LAPTOP#GENERAL,I love this laptop!,positive
2080,LAPTOP#QUALITY,LOOKS LIKE THIS DELL IS A PIECE OF CRAP.,negative
2081,LAPTOP#OPERATION_PERFORMANCE,"IT DOES NOT TURN ON - IF I TAKE THE BATTERY OUT IT MIGHT WORK, NOT SURE IF IT'S A BAD BATTERY OR COMPUTER!",negative
2082,LAPTOP#GENERAL,DO NOT RECOMMEND!,negative
2083,LAPTOP#GENERAL,Awesome laptop!,positive
2084,,Standard issue for company road-warriors where I work.,
2085,LAPTOP#OPERATION_PERFORMANCE,"Bootup time is amazing, battery life is decent and it has a great slim form factor.",positive
2086,,"Fantastic machine, I have never believed the hype behind Apple products, but must admit I am now a Mac user and do not see myself going back.",
2087,LAPTOP#USABILITY,"There is somewhat of a learning curve, but the operating system, and hardware of this Mac are great.",neutral
2088,LAPTOP#GENERAL,More than enough for my use.,positive
2089,DISPLAY#QUALITY,"The display is vibrant and clear, the keyboard is well designed and pleasant to type on;",positive
2090,LAPTOP#USABILITY,I even installed a windows partition to be able to run Windows software.,positive
2091,LAPTOP#OPERATION_PERFORMANCE,"Things just work, they are fluid, easy to use and understand, fast and work well.",positive
2092,LAPTOP#MISCELLANEOUS,"This computer is absolutely perfect for web browsing, watching video, word processing, and that's about it.",positive
2093,LAPTOP#MISCELLANEOUS,"If you want a computer that plays games or any advanced tasks like editing video, this computer is NOT for you.",negative
2094,LAPTOP#MISCELLANEOUS,"Now when I say don't expect to play games on it, I mean it.",negative
2095,LAPTOP#MISCELLANEOUS,Pretty much every major game save for Solitare won't even play on it due to the slower processor.,negative
2096,LAPTOP#DESIGN_FEATURES,"Its also worth noting that there no bluetooth, no mircophone jack, no ethernet, no dvd/cd drive/burner, and no usb 3.0 ports.",negative
2097,LAPTOP#DESIGN_FEATURES,"It DOES come with two usb 2.0 ports, a hdmi port, and a webcam.",neutral
2098,MULTIMEDIA_DEVICES#GENERAL,"The webcam is nothing special, its there if you need it.",neutral
2099,MULTIMEDIA_DEVICES#QUALITY,Don't expect it to take good pictures or video.,negative
2100,BATTERY#OPERATION_PERFORMANCE,The battery is pretty soild.,positive
2101,BATTERY#OPERATION_PERFORMANCE,It lasts up to 5-6 hours with normal use.,positive
2102,LAPTOP#QUALITY,The computer itself runs very quiet and is mostly cool to the touch.,positive
2103,OS#GENERAL,The only major negative to me is Windows 8.1 (though YMMV) and the Dell crapware installed.,negative
2104,,I would strongly recommend to remove it and install Windows 7 on it with a usb drive.,
2105,,The performance will improve on it.,
2106,,Trust me.,
2107,LAPTOP#GENERAL,Not bad for the price.,neutral
2108,LAPTOP#PRICE,I needed an inexpensive laptop to do basic office work on that was lightweight and this fits the bill just fine.,positive
2109,LAPTOP#OPERATION_PERFORMANCE,"Performance wise, it's a bit slow, but that's to be expected from a Celeron-class processor.",negative
2110,OS#GENERAL,"I'm also not a fan of Windows 8, but fortunately I can install whatever I want on the laptop without issue.",negative
2111,LAPTOP#GENERAL,Love everything about this laptop!,positive
2112,MULTIMEDIA_DEVICES#QUALITY,"Sound, quality and touchscreen are awesome!",positive
2113,LAPTOP#GENERAL,I would definitely recommend this!!,positive
2114,LAPTOP#GENERAL,I love this laptop to the moon.,positive
2115,LAPTOP#DESIGN_FEATURES,"My favorite colors black and red, the matte material and the red backlight of the keyboard.",positive
2116,MULTIMEDIA_DEVICES#QUALITY,The sound is great and it's fast.,positive
2117,,I had a number of updates to do and customization.,
2118,LAPTOP#DESIGN_FEATURES,"The laptop is beautiful, not extremely light but thin enough and wide screen with a full keyboard.",positive
2119,DISPLAY#OPERATION_PERFORMANCE,The touch screen response is fast and it picks up bluetooth and wifi FAST.,positive
2120,SOFTWARE#MISCELLANEOUS,"Microsoft Office is a 30 day trial, a number of games and apps are already preloaded.",neutral
2121,LAPTOP#MISCELLANEOUS,It's exactly like the picture and I AM SATISFIED.,positive
2122,LAPTOP#GENERAL,Great laptop light and very versatile,positive
2123,LAPTOP#USABILITY,it was easy to set up.,positive
2124,KEYBOARD#DESIGN_FEATURES,I like the number pad for work so that's nice,positive
2125,LAPTOP#GENERAL,"This is going to be random and unorganized, but here are my thoughts on the laptop:So far so good after a month.",positive
2126,OS#USABILITY,"It took some getting used to on the Widows 8.1, after being an XP user for many years.",neutral
2127,LAPTOP#OPERATION_PERFORMANCE,Everything seems to be running smoothly.,positive
2128,SOFTWARE#GENERAL,Only downfall is the preloaded McAfee and other software.,negative
2129,SOFTWARE#GENERAL,"They are fine while the free subscription is going, but a pain when they start asking you to spend money every time you login.",positive
2130,LAPTOP#DESIGN_FEATURES,"Device is light weight, quiet during operation and produces little to no heat.",positive
2131,LAPTOP#OPERATION_PERFORMANCE,It has a quick start up and shut down time.,positive
2132,DISPLAY#QUALITY,The display is good quality.,positive
2133,LAPTOP#DESIGN_FEATURES,Just wish there were more USB ports.,negative
2134,LAPTOP#GENERAL,"I AM IMPRESSED WITH THIS COMPUTER, INEXPENSIVE BUT QUALITY.",positive
2135,LAPTOP#DESIGN_FEATURES,"LOVE THE SIZE, I AM USING THIS FOR WORK, I AM A NURSE AND HAVE TO CHART DAILY, THIS IS EASY TO USE AND I HAVE NOT HAD ANY PROBLEMS WITH IT.",positive
2136,LAPTOP#GENERAL,It's so damn good I bought 2 :D,positive
2137,LAPTOP#MISCELLANEOUS,"If you're the type of person that just likes to browse the Internet and enjoy media and do light work with Microsoft office, this is the laptop for you.",positive
2138,LAPTOP#OPERATION_PERFORMANCE,Don't expect it to be a champion performer so if you want to play games or whatever this is not the computer for you.,neutral
2139,LAPTOP#DESIGN_FEATURES,It's extremely light weight and slim because of the lack of an optical drive (who uses those anymore anyways) so it easily fits into any college students bag.,positive
2140,LAPTOP#MISCELLANEOUS,I would recommend this to anyone who doesn't need much out of a computer.,positive
2141,,Bought a spare one for college and one for my mom :D,
2142,,Happy shopping guys,
2143,LAPTOP#GENERAL,I am very happy with this computer.,positive
2144,LAPTOP#GENERAL,"It is exactly what I expected, and the price is excellent!",positive
2145,LAPTOP#GENERAL,"You are getting what you pay for and in my opinion, it is worth more.",positive
2146,LAPTOP#OPERATION_PERFORMANCE,Been using it for about 4 hours now and it seems plenty fast and does everything I need it to do.,positive
2147,LAPTOP#MISCELLANEOUS,Its a very basic laptop.,neutral
2148,LAPTOP#DESIGN_FEATURES,"I thought it would have a CD-rom drive, but there isnt one.",negative
2149,LAPTOP#DESIGN_FEATURES,Also wish it had a port to plug an internet cord into it because sometimes my wifi router likes to not work.,negative
2150,LAPTOP#GENERAL,But for the price its good.,positive
2151,CPU#OPERATION_PERFORMANCE,Other than the slow CPU it works great for everyday use.,negative
2152,LAPTOP#MISCELLANEOUS,Heavy gaming is definitely not it's strong point.,negative
2153,LAPTOP#QUALITY,The cover is a soft rubber texture without the friction.,positive
2154,LAPTOP#DESIGN_FEATURES,Slick design and looks great.,positive
2155,LAPTOP#USABILITY,"The machine is easy to use, has the power it needs for personal use and some light professional work.",positive
2156,LAPTOP#DESIGN_FEATURES,"It could be lighter, but couldn't everything.",neutral
2157,BATTERY#OPERATION_PERFORMANCE,The battery seems adequate for most uses ~ 4.5 hour use/charge.,positive
2158,DISPLAY#QUALITY,Screen is clear and bright.,positive
2159,LAPTOP#DESIGN_FEATURES,Glad it has the DVD drive.,positive
2160,LAPTOP#GENERAL,Perfectly adequate.,positive
2161,LAPTOP#GENERAL,Great PC.,positive
2162,LAPTOP#OPERATION_PERFORMANCE,"The i7 is incredibly fast, the RAM makes it proper for several games (not on maximum quality).",positive
2163,MULTIMEDIA_DEVICES#QUALITY,Great sound quality too.,positive
2164,LAPTOP#GENERAL,Nice laptop.,positive
2165,LAPTOP#OPERATION_PERFORMANCE,"I use it for school, its quick and has everything I need on it.",positive
2166,BATTERY#OPERATION_PERFORMANCE,Good battery life as well.,positive
2167,LAPTOP#CONNECTIVITY,Wifi card not working right out of the box.,negative
2168,SUPPORT#QUALITY,Dealing with HP support is a ridiculous and painful experience.,negative
2169,SUPPORT#QUALITY,"I have spent more than 2.5 hours on the phone with them (over 4 different calls), only to get no where.",negative
2170,SUPPORT#QUALITY,"Now I'm looking into the return process, which I'm sure will just be loads of fun, if my prior experience is any indication.",negative
2171,COMPANY#GENERAL,"Seriously, save yourself the hassle and purchase from a different company.",negative
2172,LAPTOP#GENERAL,"Used to love HP products, but this has soured me on the whole company.",negative
2173,LAPTOP#GENERAL,By far the best laptop I've ever had.,positive
2174,LAPTOP#OPERATION_PERFORMANCE,"Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.",positive
2175,LAPTOP#DESIGN_FEATURES,"My only concern is that since the battery is not external, I will not be able to change it out once it starts not to hold a good charge over a length of time.",negative
2176,COMPANY#GENERAL,I wonder if thats just Apples way of saying its time to get the newest and greatest laptop 3-4 years from now lol.,neutral
2177,LAPTOP#GENERAL,The product is average and works well.,neutral
2178,LAPTOP#OPERATION_PERFORMANCE,Works at a decent speed.,neutral
2179,MOUSE#QUALITY,The mouse pad however is very loud which is why i gave it four stars.,negative
2180,LAPTOP#GENERAL,I had a great experience purchasing my Dell Inspiron i3531-1200BK 15.6-Inch Laptop.,positive
2181,,"I was very impressed by the sellers speedy two-day delivery, which was free!",
2182,LAPTOP#USABILITY,"My laptop was easy to set-up, and I've had no problems to date.",positive
2183,,Thank you!,
2184,LAPTOP#GENERAL,Did not disappoint me at all.,positive
2185,LAPTOP#GENERAL,Lenovo is the best laptop.,positive
2186,MULTIMEDIA_DEVICES#QUALITY,Built in mike is really poor and unusable for Skype or any other purpose.,negative
2187,LAPTOP#DESIGN_FEATURES,And the only microphone input is for a combo Mike/Speaker plug.,negative
2188,LAPTOP#USABILITY,So to communicate I need to wear ear plugs or a headset with a built-in mike.,negative
2189,LAPTOP#USABILITY,That's a nuisance for family Skype calls...only one can speak at a time.,negative
2190,LAPTOP#GENERAL,"We haven't used it enough or had it long enough to give it 5 stars, but so far it has been a very good laptop.",positive
2191,KEYBOARD#USABILITY,Several other reviewers made comments on the keyboard and now I can understand why --- this keyboard is the nicest to use of any laptop we've ever owned.,positive
2192,KEYBOARD#GENERAL,"I'm a life-long desktop computer user, and the keyboard on this laptop is as close to a ""normal"" keyboard as I've ever seen.",positive
2193,LAPTOP#GENERAL,We like this new laptop -- a lot!,positive
2194,LAPTOP#OPERATION_PERFORMANCE,Very good performer for the price.,positive
2195,LAPTOP#OPERATION_PERFORMANCE,"Not blazing fast, but quick enough.",positive
2196,LAPTOP#DESIGN_FEATURES,One really nice thing about Lenovo laptops is that they are not cluttered with a bunch or trial software.,positive
2197,LAPTOP#DESIGN_FEATURES,The desktop was clean once I got it up and running.,positive
2198,BATTERY#OPERATION_PERFORMANCE,"Battery life is above average, and it charges quickly.",positive
2199,KEYBOARD#QUALITY,Keyboard is sturdy.,positive
2200,MOUSE#DESIGN_FEATURES,"The touch pad takes a little getting used to as the ""click"" buttons are on top instead of the bottom.",neutral
2201,COMPANY#GENERAL,I will be considering Lenovo for all future laptop purchases.,positive
2202,LAPTOP#GENERAL,This lap top is good so far.,positive
2203,LAPTOP#QUALITY,It is quiet runs smoothly.,positive
2204,LAPTOP#DESIGN_FEATURES,"I really like the video option on it, I stream movies on Amazon Prime and Netflix and there is no lag.",positive
2205,,Actually streams better than my regular desk top computer.,
2206,LAPTOP#QUALITY,"The only negative would be that it gets pretty warm sitting on my lap for very long, but that is pretty much standard for all lop tops I think.",neutral
2207,,Now I lay a pillow on my lap first.,
2208,,Problem solved.,
2209,,ouch.,
2210,LAPTOP#OPERATION_PERFORMANCE,it stopped working 31 days after purchase.,negative
2211,,i just tried to restart it.,
2212,,i hope they can fix it somehow.,
2213,LAPTOP#OPERATION_PERFORMANCE,it was slow and might be problematic.,negative
2214,LAPTOP#GENERAL,i would shop around for a better one.,negative
2215,LAPTOP#OPERATION_PERFORMANCE,CRASHED only 2 days from getting it!!!!,negative
2216,HARD_DISC#QUALITY,Says it is failing hard drive.,negative
2217,,Going to see what lenovo does.,
2218,LAPTOP#GENERAL,I should have bought something better.,negative
2219,LAPTOP#OPERATION_PERFORMANCE,"The PC is works well with a good battery and a power cable, and has a web cam.",positive
2220,LAPTOP#DESIGN_FEATURES,"However, it does not have a DVD drive, neither does it afford one the opportunity to connect an external DVD drive as the manufacturer did not make any point ofconnection of an external drive.",negative
2221,,Got it for my wife.,
2222,LAPTOP#GENERAL,"Other than a hate of windows 8, she just loves it.",positive
2223,,This is not my first Dell laptop.,
2224,,"I've owned other models, as well.",
2225,,This one doesn't seem to be the same quality as ones I have purchased before.,
2226,LAPTOP#QUALITY,The plastic materials are rather cheap.,negative
