,aspect,document,sentiment
1853,,I took it to the shop and they said It would cost too much to repair it.,
1854,,I had a toshiba for 10 years.,
1855,,I'll stick to Tashiba.,
1856,,An absolutely hateful machine that no one should get of their own free will.,
1857,,I just can't fathom that the celebrated Dell would last a week in environment of free competition with normal products - it only survives b/c its substandard laptops are forced onto captive students and employees through question-raising programs.,
1858,,"Mine came at $1,700 w/o a DVD burner (!).",
1859,,Enough said.,
1860,,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",
1861,,"The 4 USB ports are nice, but the two on the side only work now and then.",
1862,,Keyboard could use some trimming.,
1863,,"Did I mention everything about it, from size to weight to keyboard screams BULK?",
1864,,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",
1865,,I custom ordered the machine from HP and could NOT understand the techie due to his accent.,
1866,,Finally was able to reach a young lady in California and ordered the machine and was subsequently given a delivery date.,
1867,,"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",
1868,,The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.,
1869,,"My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.",
1870,,"Although my model was listed as recalled, HP denied my claim.",
1871,,"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.",
1872,,I visited the Apple Store and was impressed with the 17-inch MacBook Pro.,
1873,,"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.",
1874,,"If the number of patrons in the Apple store are any indication, HP and other PC manufacturers need to take note.",
1875,,This laptop is the most amazing little peice of machinery I have owned outside of the Iphone.,
1876,,"It took me a while top get away from the land of PCs, but now that I have, I can't see myself going back to it.",
1877,,The laptop is gorgeous.,
1878,,"It is sleek, smooth, and lightweight.",
1879,,It is easily portable and I take it everywhere I go and might require internet access.,
1880,,The screen is very large and crystal clear with amazing colors and resolution.,
1881,,The keyboard is slick and quiet and not bulky like some other laptops I have had in the past.,
1882,,The processor is very quick and effective as I load webpages and applications.,
1883,,It is quiet and a real joy to watch work.,
1884,,I love it and will probably get another one when this goes to the Laptop in the sky!!,
1885,,Excellent product for the money.,
1886,,"No problems, no lock ups, no disappointments.",
1887,,"Not super fancy, but not super expensive either.",
1888,,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",
1889,,Highly recommend for daily use.,
1890,,"We now own two of these, identical.",
1891,,"This computer periodically crashes (Office, IPhoto, Safari).",
1892,,It takes a long time to get on the Web and to change Web Sites.,
1893,,Locks up she searching for updates.,
1894,,Just to be clear.,
1895,,I have been an Apple user since they switched to Intel.,
1896,,I have had Macbook PROs and Macbook Airs and have never had a problem.,
1897,,It seems that this computer might be a lemon.,
1898,,I purchased it through Amazon.,
1899,,I have had one complaint into the supplier but got little support.,
1900,,I am taking the computer to Apple to see what they think.,
1901,,There are so many wonderful features and benefits to the new MacBook!,
1902,,The #1 reason that is always repeated.,
1903,,No Viruses!,
1904,,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,
1905,,I am loyal to Apple.,
1906,,The Macbooks worth every penny.,
1907,,"They're easy, fun, powerful and will last a long time.",
1908,,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy.",
1909,,I am very Happy!,
1910,,Disclaimer: I'm a Mac user.,
1911,,"I wanted to love this laptop, which I bought as a transitional laptop to use between jobs, before my new university gave me one.",
1912,,"In two months, both the power cord pin broke (the company replaced it) and then the CD drive literally jumped out of the laptop unannounced and shattered into a million pieces.",
1913,,"In addition, no matter what I do to change the settings, add/delete Flash, etc., Firefox hangs on start-up.",
1914,,It seems like Lenovo also makes weird choices about which side to put the powercord and other slots on.,
1915,,The cords always feel like they are in my way.,
1916,,"One positive aspect of this laptop is the keyboard, which is larger than usual.",
1917,,It's a pleasure to type on.,
1918,,"My final thoughts: if you are a Mac user, stay away.",
1919,,"If you want to travel with this laptop, don't buy it.",
1920,,"It's clunky, heavy, and a pain to start up and shut down.",
1921,,"If you have zero dollars, consider it.",
1922,,"If you want ease of use and long-term happiness, buy a Macbook.",
1923,,"With all the goodies inside this machine, it is a value.",
1924,,It is very well built.,
1925,,The keyboard is top notch.,
1926,,The touch pad is among the best.,
1927,,"The screen is huge and coloful, but no LED backlighting.",
1928,,"The video card is great for media, and above average for gaming, but not a gamers first choice.",
1929,,The problem I had with this unit was unresolvable.,
1930,,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",
1931,,"I realize that not every unit has this issue, but the ones that do cannot be repaired.",
1932,,"I acually believe the issue is with the Nvidia grafics card, but still requires a return.",
1933,,"Instead of taking another chance on Toshiba, I went with an Asus G73JH-x3.",
1934,,"They offer the best warranty in the business, and don't 3rd party it out like Toshiba.",
1935,,"For the same price, you get a lot more in the Asus....1920x1080 res./ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...",
1936,,"Sorry Toshiba, but 1st impressions do count for something.",
1937,,"Fantastic machine, I have never believed the hype behind Apple products, but must admit I am now a Mac user and do not see myself going back.",
1938,,"There is somewhat of a learning curve, but the operating system, and hardware of this Mac are great.",
1939,,More than enough for my use.,
1940,,"The display is vibrant and clear, the keyboard is well designed and pleasant to type on;",
1941,,I even installed a windows partition to be able to run Windows software.,
1942,,"Things just work, they are fluid, easy to use and understand, fast and work well.",
1943,,"Excellent performance, especially given its price point.",
1944,,It's performing very well after a week's use and I don't anticipate any trouble given my past experiences with Dell pcs.,
1945,,The screen is wide and provides excellent clarity.,
1946,,"In addition to some usage on the road, this is also my desktop unit.",
1947,,"It is not a small, compact laptop, but I won't be traveling via air often, so its size and weight is not a problem for me.",
1948,,This was recommended to me by an IT support specialist in the local school district.,
1949,,I can appreciate why she recommended it!,
1950,,"If you are undecided between a desktop or laptop pc, I strongly recommend this pc as a solution.",
1951,,I hate it.,
1952,,I have had the luxury (sarcasm) of owning 2 of these laptops.,
1953,,The first fell apart right after the 1-year-warranty.,
1954,,"During that time, I had to send it back 3 times.",
1955,,I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.,
1956,,None of the techs at HP knew what they were doing.,
1957,,"They would repair one thing, send it back and it would still have the same problem.",
1958,,"The processor went on me, the fan went and the motherboard went.",
1959,,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",
1960,,I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,
1961,,I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,
1962,,I sent it back AND THEY LOST IT.,
1963,,I waited and waited and no laptop.,
1964,,Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box.,
1965,,"I waited another month for approval and for them to ""BUILD"" me a new laptop.",
1966,,I was psyched.,
1967,,I thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and I wouldn't have the same problems because it was updated.,
1968,,Here we are another year later and the computer is doing the same thing.,
1969,,HP didn't fix it.,
1970,,I swear they design these things to go to crap after a year so you are stuck and have to buy a new one.,
1971,,"I use my friends and family's $2000 laptops and they are fast and reliable and HP, well, I'll never buy or recommend an HP to anyone!",
1972,,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",
1973,,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",
1974,,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",
1975,,I highly recommend this computer for students looking for a solid machine to get them through college.,
1976,,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",
1977,,Quite simply this is the best laptop I have ever owned.,
1978,,"I have had several machines over the years, both for personal and business use.",
1979,,All of them were Windows machines.,
1980,,"Don't get me wrong, I am no Microsoft hater, I've just managed to turn into a much bigger Apple fan because of this machine.",
1981,,"For me, five stars is not enough.",
1982,,I can't imagine EVER buying a PC again!,
1983,,I have had a Mac for 6 years and won't go back to PC.,
1984,,They don't crash.,
1985,,"If a website ever freezes (which is rare), its really easy to force quit.",
1986,,Never been hacked.,
1987,,No viruses.,
1988,,"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.",
1989,,A mac is very easy to use and it simply makes sense.,
1990,,Its also FUN to use!,
1991,,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",
1992,,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,
1993,,She said its very user friendly.,
1994,,"I have had another Mac, but it got slow due to an older operating system.",
1995,,"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",
1996,,"I am very happy I bought this Mac, well worth the extra money.",
1997,,"I initially purchased my Macbook Pro 13"" in April, and I loved it.",
1998,,I had never owned a Mac before;,
1999,,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,
2000,,I was so happy with my new Mac.,
2001,,for 2 months.,
2002,,Then the hard drive failed;,
2003,,"my information was all lost (my fault, I know, but I never thought I would need to back up my information on a brand new Mac, the paragon of all computers!",
2004,,"So, after Apple replaced the hard drive I enjoyed another 4 months of my new computer, until it froze this morning--completely.",
2005,,I can't even turn it off.,
2006,,It's catatonic.,
2007,,"Even if Apple replaces whatever needs replacing I wonder if, since I seem to be doubling the amount of time I get out of it each time it's ""like new,"" I might have 8 months next time.",
2008,,"Oh, boy!",
2009,,"I would rate this computer at 5 stars, but considering it has a short life span I can only give it 1 and implore anyone looking at laptops to stay away from this machine.",
2010,,I'm going back to PC.,
2011,,At least those computers didn't just die on me like this one.,
2012,,I bought this laptop on Saturday and am completely in love with it!,
2013,,It was super easy to set up and Is really easy to get used to.,
2014,,The online tutorial videos make it super easy to learn if you have always used a PC.,
2015,,I now travel with this laptop and my work PC.,
2016,,I love the Mac so much better than my work PC!,
2017,,I will never go back to Windows!,
2018,,"Well, I have to say since I bought my Mac, I won't ever go back to any Windows.",
2019,,It's solid.,
2020,,Love the stability of the Mac software and operating system.,
2021,,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,
2022,,It seems to be incompatible with everything else.,
2023,,But the machine is awesome and iLife is great and I love Snow Leopard X.,
2024,,"I love the 15"" MacBook Pro.",
2025,,"My parents bought it for me as a graduation gift, and i'm totally (almost kind of maybe definitely) obsessed with it.",
2026,,It was very easy to just pick up and use--,
2027,,It did not take long to get used to the Mac OS.,
2028,,(I had been a Windows/Linux user before this),
2029,,"I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",
2030,,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",
2031,,The built-in webcam is great for Skype and similar video-chat services.,
2032,,"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",
2033,,The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,
2034,,"All-in-all, I would definitely recommend this product for nearly everyone.",
2035,,The graphics are stunning.,
2036,,It's wonderful for computer gaming.,
2037,,I would definitely suggest this laptop!,
2038,,It is very user friendly and not hard to figure out at all.,
2039,,"It has many great programs, such as ILife, iPhotos and others.",
2040,,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,
2041,,"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",
2042,,This comes in very handy for me as an educator.,
2043,,iPhotos is an excellent program for storing and organizing photos.,
2044,,It allows you to automatically upload photos to your Facebook account with one click.,
2045,,"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.",
2046,,"If you are looking for something reliable, this is the laptop for you.",
2047,,"Even though it is much more expensive than many PC laptops, it is worth the price.",
2048,,Runs Hot,
2049,,I thought we were paying for quality in our decision to buy an Apple product.,
2050,,"Unfortunately, that is not the case.",
2051,,"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",
2052,,"Because we did not purchase the extended warranty in time, we are on the hook for the repair.",
2053,,The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.,
2054,,"In fact, he said, about 10% of their products fail.",
2055,,Hmmm - that high failure rate sure isn't reflected in the retail price.,
2056,,This is the first Apple product that I have purchased.,
2057,,VERY disappointing:,
2058,,I was not aware that this product cannot display websites that contain Flash.,
2059,,About 1/2 of the sites I need to visit because of my work contain some type of Flash.,
2060,,"Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.",
2061,,One of the primary reasons why I purchased an IPad was to store photographs so that I could show to my customers.,
2062,,"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line.",
2063,,"I go to purchase it on line, and I find out that the device will not be available until almost two months later!",
2064,,I now realize that my $900 would have been better spent on a Windows laptop.,
2065,,"i would never go back any more, i love this computer so much and i would recommend it to everyone.",
2066,,"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",
2067,,"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",
2068,,this computer is a little more expensive than any pc but it will last you longer and it worth every penny.,
2069,,"All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",
2070,,"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",
2071,,"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.",
2072,,"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).",
2073,,"The 13"" MacBook Pro is portable, durable, and very capable.",
2074,,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",
2075,,"It's also very energy efficient, running on a quarter of the power it takes to run a 60 Watt lightbulb.",
2076,,"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",
2077,,It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,
2078,,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",
2079,,"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",
2080,,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",
2081,,"Still, this laptop is perfect for all day use at school and work.",
2082,,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,
2083,,The Toshiba laptop I am using is easier to use than most I have tried.,
2084,,The games included are very good games.,
2085,,I am finding my way around this laptop better than my last one.,
2086,,I would highly recommend this one to my friends,
2087,,I bought it for really cheap also and it's AMAZING.,
2088,,Easy to start up and does not overheat as much as other laptops.,
2089,,Recommended to people as their first laptop.,
2090,,I was looking for a mac which is portable and has all the features that I was looking for.,
2091,,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",
2092,,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",
2093,,I would recommend anyone to buy from pcconnection express.,
2094,,Speakers doesn't sound that great.,
2095,,The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.,
2096,,"Plain and simple, it(laptop) runs great and loads fast.",
2097,,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",
2098,,Love that it doesn't take up space like a regular computer.,
2099,,dell is a decently made pc.,
2100,,although its windows vista compared to windows xp sucks.,
2101,,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,
2102,,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,
2103,,so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.,
2104,,I purchased this laptop while on a business trip to keep up with my email.,
2105,,I had left my regular laptop at home and needed something to use while out of town .,
2106,,The price and features more than met my needs.,
2107,,I love WIndows 7 which is a vast improvment over Vista.,
2108,,The feature are good enough for what I need.,
2109,,I have owned macbook pros since 2005 and this is the best yet!,
2110,,I have had no problems with it unlike some hardware defects on past models.,
2111,,I have never had to shut down the computer unexpectedly and the computer has never froze on me.,
2112,,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",
2113,,"Navigation through the computer is far superior compared to Windows operating systems, as well.",
2114,,"Overall, this is a wonderful computer and definitly worth the purchase!",
2115,,I absolutely love my mac!,
2116,,I can't imagine my life without it anymore!,
2117,,It's perfect for everything and runs faster than an average pc!,
2118,,"beautifully done, the computer is amazingly faster compared to other version of macbook pro i have had in the past.",
2119,,I am also glad it doesnt get too hot when left on for an extended period of time.,
2120,,"The battery life is good, even with using high profile software like Sibelius 7 for a good half of the day.",
2121,,"Overall, the performance and specs are definitely great for the price compared to other laptop of the same price, which make this Apple purchase a worthwhile one.",
2122,,This a starter notebook.,
2123,,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,
2124,,The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,
2125,,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,
2126,,I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,
2127,,It is a cheap throw together.,
2128,,Save your money and go for a better device.,
2129,,Has a 5-6 hour battery life.,
2130,,Much faster than my old windows laptop that died on me.,
2131,,It is easy to use and lightweight.,
2132,,Was very much worth the price i paid.,
2133,,Terrific value for the money.,
2134,,Love the key layout and the built-in mouse pad - all work well and are properly sized.,
2135,,"Was easy to get up and running and comes with Windows 7 Pro (my favorite operating system so far, do not  like Windows 8).",
2136,,Highly recommended.,
2137,,I got the black MacBook two years ago and have never regretted it.,
2138,,It was a hard decision for me since the MacBook Pro looked so appealing.,
2139,,"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",
2140,,So this was great for me.,
2141,,It has just enough RAM to run smoothly and enough memory to satisfy my needs.,
2142,,Plus it is small and reasonably light so I can take it with me to and from work.,
2143,,I also travel with it and it never gives me any problems.,
2144,,It was also cheaper than the Pro which made it even more appealing to me.,
2145,,"Sadly Apple has discontinued this MacBook, I think it was never super popular since it fell somewhere in between the cheapest white model and the smaller Pros.",
2146,,But I am glad to have gotten mine right before they stopped making it.,
2147,,"I look forward to years of use, it has held up well over the years and it fits my needs very well.",
2148,,Shiny,
2149,,This Laptop is the Best of the best!,
2150,,The Awesomest of the awesomest.,
2151,,"It is so great, I can Hardly ever take my hands off it!",
2152,,My friends are in awe every time they come over!,
2153,,"I got it for Christmas, and I was so excited to set it up!",
2154,,"It is super fast, and always loads.",
2155,,I am just amazed.,
2156,,The only bad part is the size/weight.,
2157,,"It's like 9 punds, but if you can look past it, it's GREAT!",
2158,,"If you don't like fingerprints, this might not be the laptop for you.",
2159,,"It super shiny, so you can see the fingerprints easily.",
2160,,It doesn't bother me though.,
2161,,It doesn't heat up like my old laptop.,
2162,,All for such a great price.,
2163,,It's color is even cool.,
2164,,Another Great thing is the Beast graphics.,
2165,,They are so realistic I am just speechless.,
2166,,"I let my friend borrow it, and she knows nothing about computers, and she used it with ease.",
2167,,The cool thing about this is anyone can use it.,
2168,,"Mom, Dad, Brother, sister, You name it!",
2169,,I don't know how I could ever live without my Qousmio.,
2170,,The new Macbook Pro 15 inch i7 is nothing short of amazing.,
2171,,The speed is incredible and I am more than satisfied.,
2172,,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",
2173,,I think this computer is super lame.,
2174,,I dont understand how anyone can think this is a great product worth purchasing.,
2175,,I went to my local Best Buy looking for a new laptop since mine broke.,
2176,,I decided to get this pile of crap on a whim and totally freaking regret it.,
2177,,It doesnt work worth a damn.,
2178,,The display is beyond horrible.,
2179,,I can not even read what I am writing half of the time.,
2180,,"There are so many things wrong with this product, it just makes me want to set my self on fire!",
2181,,I would totally recommend any other laptop over this pile of grabage.,
2182,,"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",
2183,,Not to mention it has shit gigs.,
2184,,I could not even put my entire music collection on this garabage.,
2185,,Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,
2186,,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,
2187,,After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,
2188,,"Before we got this laptop, had a compaq pasaro for 5 years with no problems.",
2189,,After the bad experience with this computer went back to compaq.,
2190,,I will have to say that I love my MacBook Pro!,
2191,,It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.,
2192,,I have used different laptops in the past and I have to rate this one way above the rest.,
2193,,This is now my 3rd MacBook Pro and I really honestly love it!,
2194,,"The newer black keyboard took a little bit away from the previous gray one which looked really slick, but it is still a great notebook!",
2195,,The MacBook Pro is very sturdy and versatile.,
2196,,I love it!,
2197,,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",
2198,,We are addicted to the Mac.,
2199,,This is a great laptop and I would recommend it to anyone.,
2200,,The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,
2201,,Great laptop that offers many great features!,
2202,,Lightweight and the screen is beautiful!,
2203,,I had meant to purchase the NB205 and bought this one by accident (long story).,
2204,,"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.",
2205,,Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,
2206,,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",
2207,,"I have had the netbook for 2 months and I love it, I read some reviews that say netbooks are slow but it does not seem any slower than the other computers I use.",
2208,,"Also the speakers are not very loud, But it is a netbook.",
2209,,Would HIGHLY recommend this netbook though.,
2210,,"Ok, this is probably the best laptop series ever devised by Apple.",
2211,,The case is carved out of a single block of aluminum.,
2212,,"Although I opted for the lowest end MacBook Pro, this thing holds its own.",
2213,,"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",
2214,,That is how it is able to function better than any other PC.,
2215,,I have recommended this laptop to everyone I know who is buying one.,
2216,,"I like it so much, I bought another just for my wife.",
2217,,"I just bought this computer from the Apple Store, and I couldn't be more impressed with it.",
2218,,"It has a stunning retina display, and is very fast.",
2219,,The solid-state memory makes it a lot faster than previous MacBook Pro models that used a spinning hard drive.,
2220,,"This computer is good for anything, and it has really superseded my high expectations.",
2221,,"Also, the sound quality from the speakers is crystal clear, and everything is just sleek and smooth.",
2222,,"The HD display is sensational, and now watching any movie is a very enjoyable experience for me.",
2223,,"No hardware issues, as is common with any Apple product.",
2224,,"Great product, and couldn't be happier with it.",
2225,,Meh...but cheap.,
2226,,I bought this so that I could sit on the couch and surf internet with a larger screen than iPad was offering.,
2227,,The reviews at the time in late July 2014 were mostly positive and it was the best selling laptop with almost 4 star review...,
2228,,The first thing I can say for positive is that the laptop is very light- makes it really portable..this with a relatively clear screen is a bonus.,
2229,,Now the graphics are not HD...and the reason that it is light is that it is really basic (medium low grade) plastic.,
2230,,"So if you don't have kids, or not in high school or don't accidently sit on it, it should be fine.",
2231,,Now the speed is disappointing.,
2232,,"Start up is fine  maybe 20 secs at most, but then to get pages to load on internet is molasses at times.",
2233,,Even for a 4GB RAM it barely chugs with 3 tabs open.,
2234,,"I tried all the Window updates (this worked for a couple of HP laptops I7in that I bought later at BB) to see if it could remove the drag, it did not.",
2235,,Really at this point I am trying to confirm if the RAM can be upgraded to see if I can do that to help.,
2236,,"Couple that with lack of inbuilt Bluetooth, dvd drive you are looking at a close tie (or even a loss) compared with the other laptops on sale in mid to late August 2014.",
2237,,The HP laptops 17in (with i3 core and AMD) I mentioned before from the other big electronic BB store smoked this one even before I updated windows and upped the RAM.,
2238,,But alas they were gifts...and what is a gift if not given?,
2239,,All in all I wish I had waited a bit.,
2240,,But then again hindsight is 20/20.,
2241,,Bought a usb dvd rW drive but have not used it yet.,
2242,,Let me start with the good:So awesome.,
2243,,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",
2244,,This is my second MacBook.,
2245,,"The first one I had was a 2006 model, not the Pro.",
2246,,I fell in love with it.,
2247,,This one has had the same effect.,
2248,,"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",
2249,,"The improvements to the OS have been relatively gradual, but substantive.",
2250,,The feel of this machine compared to the old MacBook is far superior.,
2251,,"The Unibody construction is solid, sleek and beautiful.",
2252,,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",
2253,,"For the not so good, I got the stock screen - which is VERY glossy.",
2254,,It's still beautiful and has better color reproduction than I could ever expect from a notebook.,
2255,,The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,
2256,,My real problem with it?,
2257,,The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,
2258,,I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.,
2259,,The first full charge of this battery got me only about 2 full hours.,
2260,,Enabling the battery timer is useless.,
2261,,"The ""Time remaining"" goes from 4 hours plus to less than 2 hours over the span of about 10 minutes.",
2262,,It's a joke.,
2263,,It's so bad that I'm thinking I only got half a battery or something.,
2264,,I know what 7 hrs of battery looks like.,
2265,,This ain't it.,
2266,,My only other complaint is that it gets really hot.:-),
2267,,"If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",
2268,,I previously owned an HP desktop and a Dell laptop.,
2269,,Both computers started acting extremely slow within the first year of owning them.,
2270,,"I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it.",
2271,,I especially like the backlit keyboard.,
2272,,It makes doing schoolwork at night so much easier.,
2273,,"It is also very lightweight, making transporting this computer very easy.",
2274,,The graphics on this computer are also stellar - very clear and vivid.,
2275,,"The applications are also very easy to find and maneuver, much easier than any other computer I have ever owned.",
2276,,"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",
2277,,The program came with the computer and works beautifully.,
2278,,I definitely will buy a Mac again if and when this computer ever fails.,
2279,,I've had my Macbook Pro since August 2009.,
2280,,"Prior to this computer, I owned a PowerBook G4 for 6 years (quite a long time for a laptop).",
2281,,That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought.,
2282,,My MacBook Pro is no exception.,
2283,,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,
2284,,Since I've had this computer I've only used the trackpad because it is so nice and smooth.,
2285,,I also like that you can scroll down in a window using two fingers on the trackpad.,
2286,,"The display is incredibly bright, much brighter than my PowerBook and very crisp.",
2287,,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",
2288,,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",
2289,,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,
2290,,I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,
2291,,Great laptop from Apple!,
2292,,Apple is unrivaled in terms of build quality and functionality.,
2293,,The retina screen is absolutely beautiful and the touchpad is the best touchpad to date.,
2294,,The pair allow for seamless navigation throughout the whole interface.,
2295,,Battery life is astonishing given the processing power and high resolution display.,
2296,,I can easily get 10 hours out of a full charge.,
2297,,"Also, I find OS X much more simple and easy to use than Windows.",
2298,,"Overall, a high quality laptop and a great value considering all this computer has to offer.",
2299,,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",
2300,,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,
2301,,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",
2302,,"I play a lot of casual games online, and the touchpad is very responsive.",
2303,,"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.",
